,Average,Split_1,Split_2,Split_3,Split_4,Split_5,Test-Data,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.8793333333333333,0.8758333333333332,0.9375,0.7708333333333335,0.875,0.9375,0.8507918866351765,0.1,two,0.1
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.1
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,0.25
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.25
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,0.5
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.5
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,0.75
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.75
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,1.0
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,1.0
DRSVM_withoutSupport,0.7098333333333333,0.6116666666666667,0.8541666666666666,0.8541666666666666,0.6249999999999999,0.6041666666666667,0.5241733814948597,0.25,two,0.1
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.25,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,two,0.1
DRSVM_withoutSupport,0.9583333333333333,1.0,0.8958333333333334,0.9583333333333335,0.9791666666666667,0.9583333333333335,0.9745762711864407,0.25,two,0.25
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.25,two,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,two,0.25
DRSVM_withoutSupport,0.9916666666666667,1.0,1.0,0.9791666666666667,1.0,0.9791666666666667,0.9915254237288136,0.25,two,0.5
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.25,two,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,two,0.5
DRSVM_withoutSupport,0.9958333333333333,1.0,1.0,0.9791666666666667,1.0,1.0,0.9915254237288136,0.25,two,0.75
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.25,two,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,two,0.75
DRSVM_withoutSupport,0.9958333333333333,1.0,1.0,0.9791666666666667,1.0,1.0,0.9915254237288136,0.25,two,1.0
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.25,two,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,two,1.0
DRSVM_withoutSupport,0.7056666666666667,0.6116666666666667,0.8541666666666666,0.8333333333333334,0.6041666666666666,0.625,0.5411225340372325,0.5,two,0.1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.1
DRSVM_withoutSupport,0.6596666666666666,0.6941666666666666,0.20833333333333331,0.8541666666666667,0.8958333333333334,0.6458333333333334,0.8146707418727424,0.5,two,0.25
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.25
DRSVM_withoutSupport,0.9875,1.0,0.9583333333333333,0.9791666666666667,1.0,1.0,1.0,0.5,two,0.5
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.5
DRSVM_withoutSupport,0.9875,1.0,0.9375,1.0,1.0,1.0,0.9915254237288136,0.5,two,0.75
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.75
DRSVM_withoutSupport,0.9833333333333334,1.0,0.9375,0.9791666666666667,1.0,1.0,0.9915254237288136,0.5,two,1.0
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,1.0
DRSVM_withoutSupport,0.693,0.6316666666666667,0.75,0.8333333333333334,0.6041666666666666,0.6458333333333333,0.6089191442067241,1.0,two,0.1
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,1.0,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,two,0.1
DRSVM_withoutSupport,0.4946666666666666,0.3275,0.16666666666666669,0.8541666666666667,0.7708333333333333,0.3541666666666667,0.4419283134203946,1.0,two,0.25
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,1.0,two,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,two,0.25
DRSVM_withoutSupport,0.5348333333333334,0.5491666666666667,0.7708333333333333,0.20833333333333337,0.3333333333333333,0.8125,0.6772714642956377,1.0,two,0.5
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,1.0,two,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,two,0.5
DRSVM_withoutSupport,0.9541666666666666,1.0,0.9375,0.8333333333333333,1.0,1.0,0.9745762711864407,1.0,two,0.75
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,1.0,two,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,two,0.75
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,1.0,two,1.0
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,1.0,two,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,two,1.0
DRSVM_withoutSupport,0.693,0.6108333333333332,0.6875,0.8749999999999999,0.6458333333333334,0.6458333333333333,0.6086412892470131,2.0,two,0.1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,two,0.1
DRSVM_withoutSupport,0.6806666666666668,0.6325000000000001,0.75,0.8333333333333334,0.6041666666666667,0.5833333333333333,0.5662684078910808,2.0,two,0.25
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,two,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,two,0.25
DRSVM_withoutSupport,0.6636666666666667,0.6933333333333334,0.12499999999999997,0.9583333333333335,0.6875000000000001,0.8541666666666666,0.7529869408168935,2.0,two,0.5
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,two,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,two,0.5
DRSVM_withoutSupport,0.51,0.6125,0.3333333333333333,0.39583333333333337,0.5,0.7083333333333334,0.7420116699083079,2.0,two,0.75
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,two,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,two,0.75
DRSVM_withoutSupport,0.9875,1.0,1.0,0.9791666666666667,0.9791666666666667,0.9791666666666667,0.9669352597943873,2.0,two,1.0
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,two,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,two,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,one,0.1
RegularisedSVM_withoutSupport,0.9501666666666666,0.9591666666666667,0.9166666666666667,0.8958333333333335,1.0,0.9791666666666667,0.9581828285634899,0.1,one,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,one,0.25
RegularisedSVM_withoutSupport,0.9501666666666666,0.9591666666666667,0.9166666666666667,0.8958333333333335,1.0,0.9791666666666667,0.9581828285634899,0.1,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,one,0.25
DRSVM_withoutSupport,0.9541666666666666,0.9583333333333333,0.9583333333333333,0.8958333333333335,1.0,0.9583333333333333,0.9171992220061128,0.1,one,0.5
RegularisedSVM_withoutSupport,0.9501666666666666,0.9591666666666667,0.9166666666666667,0.8958333333333335,1.0,0.9791666666666667,0.9581828285634899,0.1,one,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,one,0.5
DRSVM_withoutSupport,0.9541666666666666,0.9583333333333333,0.9166666666666667,0.9375,1.0,0.9583333333333333,0.9090025006946374,0.1,one,0.75
RegularisedSVM_withoutSupport,0.9501666666666666,0.9591666666666667,0.9166666666666667,0.8958333333333335,1.0,0.9791666666666667,0.9581828285634899,0.1,one,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,one,0.75
DRSVM_withoutSupport,0.9583333333333333,0.9791666666666667,0.9166666666666667,0.9375,1.0,0.9583333333333333,0.9335926646290638,0.1,one,1.0
RegularisedSVM_withoutSupport,0.9501666666666666,0.9591666666666667,0.9166666666666667,0.8958333333333335,1.0,0.9791666666666667,0.9581828285634899,0.1,one,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,one,0.1
RegularisedSVM_withoutSupport,0.938,0.8983333333333332,0.8958333333333335,0.9166666666666666,1.0,0.9791666666666667,0.941511530980828,0.25,one,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,one,0.25
RegularisedSVM_withoutSupport,0.938,0.8983333333333332,0.8958333333333335,0.9166666666666666,1.0,0.9791666666666667,0.941511530980828,0.25,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,one,0.5
RegularisedSVM_withoutSupport,0.938,0.8983333333333332,0.8958333333333335,0.9166666666666666,1.0,0.9791666666666667,0.941511530980828,0.25,one,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,one,0.5
DRSVM_withoutSupport,0.9416666666666667,0.9583333333333333,0.9166666666666667,0.875,1.0,0.9583333333333333,0.9174770769658238,0.25,one,0.75
RegularisedSVM_withoutSupport,0.938,0.8983333333333332,0.8958333333333335,0.9166666666666666,1.0,0.9791666666666667,0.941511530980828,0.25,one,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,one,0.75
DRSVM_withoutSupport,0.9458333333333333,0.9583333333333333,0.9375,0.875,1.0,0.9583333333333333,0.9174770769658238,0.25,one,1.0
RegularisedSVM_withoutSupport,0.938,0.8983333333333332,0.8958333333333335,0.9166666666666666,1.0,0.9791666666666667,0.941511530980828,0.25,one,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.25,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.1
RegularisedSVM_withoutSupport,0.9299999999999999,0.8791666666666668,0.8958333333333335,0.8958333333333334,1.0,0.9791666666666667,0.9420672409002501,0.5,one,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.25
RegularisedSVM_withoutSupport,0.9299999999999999,0.8791666666666668,0.8958333333333335,0.8958333333333334,1.0,0.9791666666666667,0.9420672409002501,0.5,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.5
RegularisedSVM_withoutSupport,0.9299999999999999,0.8791666666666668,0.8958333333333335,0.8958333333333334,1.0,0.9791666666666667,0.9420672409002501,0.5,one,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.75
RegularisedSVM_withoutSupport,0.9299999999999999,0.8791666666666668,0.8958333333333335,0.8958333333333334,1.0,0.9791666666666667,0.9420672409002501,0.5,one,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,one,0.75
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,1.0
RegularisedSVM_withoutSupport,0.9299999999999999,0.8791666666666668,0.8958333333333335,0.8958333333333334,1.0,0.9791666666666667,0.9420672409002501,0.5,one,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.1
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.25
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.5
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.75
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,0.75
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,1.0
RegularisedSVM_withoutSupport,0.9466666666666668,0.8791666666666668,0.9166666666666667,0.9583333333333335,1.0,0.9791666666666667,0.959016393442623,1.0,one,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,1.0,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.1
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.25
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.5
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,0.75
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,0.75
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,one,1.0
RegularisedSVM_withoutSupport,0.9343333333333332,0.8591666666666667,0.9166666666666667,0.9166666666666667,0.9791666666666667,1.0,0.9423450958599612,2.0,one,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,2.0,one,1.0
